eventid,iyear,imonth,month_txt,iday,date,country_txt,region_txt,provstate,city,latitude,longitude,multiple,success,suicide,suicide_txt,attacktype1_txt,targtype1_txt,target1,weaptype1_txt,nkill
2.02E+11,2017,1,Jan,4,4/01/2017,Iraq,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,0,0,0,No,Bombing/Explosion,Unknown,Unknown,Explosives,0
2.02E+11,2017,1,Jan,4,4/01/2017,Iraq,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,0,1,1,Yes,Bombing/Explosion,Private Citizens & Property,Civilians,Explosives,6
2.02E+11,2017,1,Jan,4,4/01/2017,Iraq,Middle East & North Africa,Al Anbar,Wafa,33.426248,42.977081,0,0,1,Yes,Bombing/Explosion,Military,Checkpoint,Explosives,0
2.02E+11,2017,1,Jan,4,4/01/2017,Pakistan,South Asia,Balochistan,Tahir Kot,28.923056,68.328611,0,0,0,No,Bombing/Explosion,Unknown,Unknown,Explosives,0
2.02E+11,2017,1,Jan,4,4/01/2017,Pakistan,South Asia,Balochistan,Chattar,28.869226,68.334419,0,1,0,No,Armed Assault,Utilities,Electrical Transformer,Explosives,0
2.02E+11,2017,1,Jan,4,4/01/2017,Pakistan,South Asia,Balochistan,Quetta,30.200819,66.994354,0,1,0,No,Armed Assault,Police,Assistant Sub-Inspector (ASI): Habibullah,Firearms,2
2.02E+11,2017,1,Jan,4,4/01/2017,Philippines,Southeast Asia,North Cotabato,Amas,7.065261,124.961053,0,1,0,No,Armed Assault,Police,North Cotabato District Jail,Explosives,7
2.02E+11,2017,1,Jan,4,4/01/2017,Cameroon,Sub-Saharan Africa,Unknown,Unknown,,,0,1,0,No,Bombing/Explosion,Military,Soldiers,Explosives,1
2.02E+11,2017,1,Jan,4,4/01/2017,Iraq,Middle East & North Africa,Saladin,Baiji,34.92485,43.491413,0,1,0,No,Bombing/Explosion,Military,Mil Mi-35M Helicopter,Explosives,4
2.02E+11,2017,1,Jan,4,4/01/2017,Afghanistan,South Asia,Ghazni,Habib,33.326099,68.416649,0,1,0,No,Assassination,Government (General),Education Chief: Taza Gul Nangyalai,Firearms,1
2.02E+11,2017,1,Jan,4,4/01/2017,Afghanistan,South Asia,Parwan,Charikar,35.018158,69.168991,0,1,0,No,Bombing/Explosion,Private Citizens & Property,Civilians,Explosives,0
2.02E+11,2017,1,Jan,4,4/01/2017,Somalia,Sub-Saharan Africa,Banaadir,Mogadishu,2.059819,45.326115,0,1,0,No,Bombing/Explosion,Government (Diplomatic),Compound,Explosives,0
2.02E+11,2017,1,Jan,4,4/01/2017,Somalia,Sub-Saharan Africa,Middle Shebelle,Mirrtaqwa,2.925025,45.903969,0,1,0,No,Armed Assault,Military,Checkpoint,Explosives,
2.02E+11,2017,1,Jan,4,4/01/2017,Ethiopia,Sub-Saharan Africa,Amhara,Bahir Dar,11.592294,37.3826,0,1,0,No,Bombing/Explosion,Business,Hotel,Explosives,0
2.02E+11,2017,1,Jan,4,4/01/2017,Pakistan,South Asia,Khyber Pakhtunkhwa,Dera Ismail Khan,31.834328,70.90905,0,1,0,No,Bombing/Explosion,Police,Van,Explosives,0
2.02E+11,2017,1,Jan,4,4/01/2017,Pakistan,South Asia,Sindh,Karachi,24.891115,67.143311,0,1,0,No,Armed Assault,Police,Sub-Inspector: Iqbal Mehmood,Firearms,1
2.02E+11,2017,1,Jan,4,4/01/2017,Pakistan,South Asia,Sindh,Karachi,24.891115,67.143311,0,1,0,No,Armed Assault,Business,Contractor: Malik Abdur Rahman,Firearms,1
2.02E+11,2017,1,Jan,4,4/01/2017,India,South Asia,Madhya Pradesh,Jabalpur,23.166667,79.933333,0,1,0,No,Assassination,Private Citizens & Property,Leader: Raju Mishra,Firearms,2
2.02E+11,2017,1,Jan,4,4/01/2017,Lebanon,Middle East & North Africa,North,Bzal,34.468799,36.041834,0,1,0,No,Bombing/Explosion,Government (General),Mayor: Firas Moussa,Explosives,0
2.02E+11,2017,1,Jan,4,4/01/2017,Mali,Sub-Saharan Africa,Gao,Gao,16.263981,-0.027987,0,1,0,No,Armed Assault,NGO,Aid Worker,Firearms,1
2.02E+11,2017,1,Jan,4,4/01/2017,Nigeria,Sub-Saharan Africa,Adamawa,Bakin Dutse,10.842934,13.483585,0,0,1,Yes,Bombing/Explosion,Private Citizens & Property,Market,Explosives,3
2.02E+11,2017,1,Jan,4,4/01/2017,Nigeria,Sub-Saharan Africa,Borno,Gwoza district,11.089722,13.688377,0,0,1,Yes,Bombing/Explosion,Military,Soldiers,Explosives,3
2.02E+11,2017,1,Jan,4,4/01/2017,Iraq,Middle East & North Africa,Diyala,Khanasah,33.043201,44.641945,0,1,0,No,Bombing/Explosion,Business,Stores,Explosives,1
2.02E+11,2017,1,Jan,4,4/01/2017,Iraq,Middle East & North Africa,Al Anbar,Radhwaniyah,33.185299,44.26778,0,1,0,No,Bombing/Explosion,Private Citizens & Property,Residence,Explosives,1
2.02E+11,2017,1,Jan,4,4/01/2017,Afghanistan,South Asia,Ghazni,Ghazni,33.542622,68.415329,0,0,0,No,Armed Assault,Police,Checkpoints,Firearms,0
2.02E+11,2017,1,Jan,4,4/01/2017,Myanmar,Southeast Asia,Kayin,Hlaingbwe,17.474068,97.802248,0,1,0,No,Bombing/Explosion,Military,118th Light Infantry Battalion (LIB) Unit,Explosives,0
2.02E+11,2017,1,Jan,4,4/01/2017,India,South Asia,Jharkhand,Patehl,23.369968,85.325012,0,1,0,No,Hostage Taking (Kidnapping),Private Citizens & Property,"Civilians: Sanjay Singh, Vijay Singh",Firearms,2
2.02E+11,2017,1,Jan,4,4/01/2017,Greece,Western Europe,Attica,Athens,37.99749,23.762728,1,1,0,No,Bombing/Explosion,NGO,Office,Explosives,0
2.02E+11,2017,1,Jan,4,4/01/2017,Greece,Western Europe,Attica,Athens,37.99749,23.762728,1,0,0,No,Facility/Infrastructure Attack,Business,Office of Attorney: Dimitris Bourlos,Incendiary,0
2.02E+11,2017,1,Jan,4,4/01/2017,Kyrgyzstan,Central Asia,Bishkek,Bishkek,42.874722,74.612222,0,1,0,No,Bombing/Explosion,Business,Amusement Park,Explosives,0
2.02E+11,2017,1,Jan,4,4/01/2017,Sudan,Sub-Saharan Africa,North Darfur,Tabit,13.314837,25.088934,0,1,0,No,Facility/Infrastructure Attack,Private Citizens & Property,Herders,Unknown,
2.02E+11,2017,1,Jan,4,4/01/2017,Syria,Middle East & North Africa,Homs,Tiyas,34.520279,37.630001,0,0,0,No,Unknown,Military,Tiyas Airbase,Unknown,
2.02E+11,2017,1,Jan,4,4/01/2017,Mali,Sub-Saharan Africa,Mopti,Boni,15.075623,-2.219977,0,1,0,No,Hostage Taking (Kidnapping),Government (General),Municipal Council Member: Amadou Dicko,Unknown,
2.02E+11,2017,1,Jan,4,4/01/2017,Nigeria,Sub-Saharan Africa,Delta,Abraka,5.788824,6.100338,1,1,0,No,Armed Assault,Private Citizens & Property,"Farmers: Akpovona Felix, Sunday Akpupu",Melee,2
2.02E+11,2017,1,Jan,4,4/01/2017,Nigeria,Sub-Saharan Africa,Delta,Obiaruku,5.838492,6.158714,1,1,0,No,Armed Assault,Private Citizens & Property,Farmers,Melee,3
2.02E+11,2017,1,Jan,5,5/01/2017,Libya,Middle East & North Africa,Benghazi,Benghazi,32.069286,20.151144,0,1,1,Yes,Bombing/Explosion,Military,Soldiers,Explosives,6
2.02E+11,2017,1,Jan,5,5/01/2017,Pakistan,South Asia,Balochistan,Saranan,30.585,66.8725,0,1,0,No,Assassination,Private Citizens & Property,Head of the Qila Abdullah Chapter: Malik Mohammad Essa,Firearms,1
2.02E+11,2017,1,Jan,5,5/01/2017,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,No,Bombing/Explosion,Private Citizens & Property,Civilians,Explosives,8
2.02E+11,2017,1,Jan,5,5/01/2017,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,No,Bombing/Explosion,Private Citizens & Property,Civilian,Explosives,0
2.02E+11,2017,1,Jan,5,5/01/2017,Iraq,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,No,Bombing/Explosion,Private Citizens & Property,Market,Explosives,5
2.02E+11,2017,1,Jan,5,5/01/2017,Iraq,Middle East & North Africa,Saladin,Alam,34.705948,43.697075,0,0,0,No,Assassination,Military,Eastern Tigris Operations Commander: Brigadier General Malik al-Khazraji,Explosives,0
2.02E+11,2017,1,Jan,2,2/01/2017,Afghanistan,South Asia,Helmand,Nawa-i-Barakzayi district,31.429741,64.303745,0,1,0,No,Armed Assault,Police,Officer: Bala Nasta,Firearms,1
2.02E+11,2017,1,Jan,5,5/01/2017,Turkey,Middle East & North Africa,Izmir,Izmir,38.478577,27.139976,0,1,0,No,Bombing/Explosion,Government (General),Courthouse,Explosives,4
2.02E+11,2017,1,Jan,5,5/01/2017,Afghanistan,South Asia,Faryab,Qaysar,35.687365,64.293428,0,0,1,Yes,Assassination,Police,Commander: Naseer Zabit,Explosives,3
2.02E+11,2017,1,Jan,5,5/01/2017,Afghanistan,South Asia,Nangarhar,Jalalabad,34.417122,70.449593,0,1,0,No,Bombing/Explosion,Private Citizens & Property,Vehicle,Explosives,1
2.02E+11,2017,1,Jan,5,5/01/2017,Yemen,Middle East & North Africa,Taizz,Al-Jin,12.725161,43.494482,0,1,0,No,Bombing/Explosion,Military,Shaab al-Jen Camp,Explosives,6
2.02E+11,2017,1,Jan,5,5/01/2017,Syria,Middle East & North Africa,Lattakia,Jableh,35.361572,35.927155,0,1,1,Yes,Bombing/Explosion,Business,Municipal Stadium,Explosives,12
