eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,location,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,gname,guncertain1,claimed,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,dbsource
2.01701E+11,2017,1,3,Central African Republic,Sub-Saharan Africa,Haut-Mbomou,Unknown,6.253713,25.473355,The incident occurred between Zemio and Obo.,0,1,0,9,Unknown,Government (Diplomatic),"International Organization (peacekeeper, aid agency, compound)",United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (MINUSCA),Convoy,International,Lord's Resistance Army (LRA),0,0,Unknown,,,2,START Primary Collection
2.01701E+11,2017,1,3,Central African Republic,Sub-Saharan Africa,Ouham-Pende,Bokaya,6.879722,15.554444,,0,1,0,2,Armed Assault,Government (Diplomatic),"International Organization (peacekeeper, aid agency, compound)",United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (MINUSCA),Convoy,International,Unknown,0,0,Firearms,5,Unknown Gun Type,1,START Primary Collection
2.01701E+11,2017,1,3,Egypt,Middle East & North Africa,Faiyum,Ibsheway,29.360998,30.68244,,0,1,0,2,Armed Assault,Police,Police Patrol (including vehicles and convoys),Egyptian National Police (ENP),Vehicle,Egypt,Hasam Movement,0,0,Firearms,5,Unknown Gun Type,1,START Primary Collection
2.01701E+11,2017,1,3,India,South Asia,Bihar,Salakhani,25.749567,86.006417,,0,1,0,1,Assassination,Journalists & Media,Newspaper Journalist/Staff/Facility,Unknown,Journalist: Braj Kumar Singh,India,Unknown,0,0,Firearms,5,Unknown Gun Type,1,START Primary Collection
2.01701E+11,2017,1,3,Afghanistan,South Asia,Balkh,Qadim,36.370146,66.891581,The incident occurred in Sholgara district,0,1,0,3,Bombing/Explosion,Private Citizens & Property,Marketplace/Plaza/Square,Unknown,Market,Afghanistan,Taliban,0,0,Explosives,8,Landmine,2,START Primary Collection
2.01701E+11,2017,1,3,Afghanistan,South Asia,Kandahar,Arghandab district,31.65,65.65,,0,1,0,8,Unarmed Assault,Police,Police Security Forces/Officers,Afghan Police,Officer,Afghanistan,Unknown,0,0,Chemical,1,Poisoning,1,START Primary Collection
2.01701E+11,2017,1,3,Afghanistan,South Asia,Kandahar,Kandahar,31.631083,65.742226,The incident occurred in the Chonai area.,0,1,0,2,Armed Assault,Private Citizens & Property,Laborer (General)/Occupation Identified,Not Applicable,Baker's Representative: Haji Amanullah,Afghanistan,Unknown,0,0,Firearms,5,Unknown Gun Type,0,START Primary Collection
2.01701E+11,2017,1,3,Afghanistan,South Asia,Herat,Shindand district,33.306127,62.156823,The incident occurred in the Mank area.,0,1,0,3,Bombing/Explosion,Unknown,,Unknown,Unknown,,Taliban,0,0,Explosives,16,Unknown Explosive Type,2,START Primary Collection
2.01701E+11,2017,1,3,Nigeria,Sub-Saharan Africa,Adamawa,Dar,10.890928,13.627589,The incident occurred in the Dar area.,0,0,0,6,Hostage Taking (Kidnapping),Private Citizens & Property,Village/City/Town/Suburb,Dar Village,Village,Nigeria,Boko Haram,0,0,Firearms,5,Unknown Gun Type,,START Primary Collection
2.01701E+11,2017,1,3,Iraq,Middle East & North Africa,Al Anbar,Ramadi,33.409771,43.198972,The incident occurred in the 7th kilometer area,0,1,1,3,Bombing/Explosion,Military,Military Checkpoint,Iraqi Armed Forces,Checkpoint,Iraq,Islamic State of Iraq and the Levant (ISIL),0,0,Explosives,13,Suicide (carried bodily by human being),2,START Primary Collection
2.01701E+11,2017,1,3,Iraq,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,The incident occurred in the eastern Mosul area.,1,0,0,3,Bombing/Explosion,Military,"Military Personnel (soldiers, troops, officers, forces)",Iraqi Special Operations Forces (ISOF),Forces,Iraq,Islamic State of Iraq and the Levant (ISIL),0,0,Explosives,15,Vehicle,75,START Primary Collection
2.01701E+11,2017,1,3,Iraq,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,The incident occurred in the southeastern area.,1,0,0,3,Bombing/Explosion,Military,"Military Personnel (soldiers, troops, officers, forces)",Iraqi Army,9th Armored Division,Iraq,Islamic State of Iraq and the Levant (ISIL),0,0,Explosives,15,Vehicle,93,START Primary Collection
2.01701E+11,2017,1,3,Iraq,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,The incident occurred in the northern area.,1,0,0,9,Unknown,Military,"Military Personnel (soldiers, troops, officers, forces)",Iraqi Army,16th Division,Iraq,Islamic State of Iraq and the Levant (ISIL),0,0,Unknown,,,11,START Primary Collection
2.01701E+11,2017,1,3,India,South Asia,Jammu and Kashmir,Murran,33.86652,74.864548,,0,1,0,2,Armed Assault,Police,Police Security Forces/Officers,Central Reserve Police Force (CRPF),Officers,India,Unknown,0,0,Firearms,5,Unknown Gun Type,0,START Primary Collection
2.01701E+11,2017,1,3,Egypt,Middle East & North Africa,Alexandria,Alexandria,31.200092,29.918739,,0,1,0,2,Armed Assault,Business,Retail/Grocery/Bakery,Unknown,Shopkeeper of Alcohol Store,Egypt,Muslim extremists,0,0,Melee,23,Knife or Other Sharp Object,1,START Primary Collection
2.01701E+11,2017,1,3,Lebanon,Middle East & North Africa,South,Ain al-Hilweh,33.542004,35.381153,,0,1,0,2,Armed Assault,Private Citizens & Property,Refugee (including Camps/IDP/Asylum Seekers),Ain al-Hilweh Camp,Refugee Camp,West Bank and Gaza Strip,Unknown,0,0,Explosives,7,Grenade,0,START Primary Collection
2.01701E+11,2017,1,3,India,South Asia,Jharkhand,Khelari,23.65,85,,0,1,0,3,Bombing/Explosion,Business,Mining,Central Coalfield Limited (CCL),Coal Washery Weighing House,India,Communist Party of India - Maoist (CPI-Maoist),0,1,Explosives,16,Unknown Explosive Type,0,START Primary Collection
